full_workflow_name,execution_time_seconds,repo,workflow_file,loc,num_jobs,num_triggers,trigger_types,num_reused_actions
oracle_graal__main.yml,19.5654,oracle/graal,main.yml,276,2,4,"push, pull_request, schedule, workflow_dispatch",6
huggingface_transformers__build_pr_documentation.yml,17.4415,huggingface/transformers,build_pr_documentation.yml,17,1,1,pull_request,1
oracle_docker-images__build-and-push-instantclient-images.yml,17.7987,oracle/docker-images,build-and-push-instantclient-images.yml,115,1,2,"push, workflow_dispatch",1
nodejs_node__find-inactive-tsc.yml,18.0656,nodejs/node,find-inactive-tsc.yml,62,1,2,"schedule, workflow_dispatch",4
yt-dlp_yt-dlp__quick-test.yml,15.5909,yt-dlp/yt-dlp,quick-test.yml,42,2,2,"push, pull_request",4
twbs_bootstrap__lint.yml,13.8205,twbs/bootstrap,lint.yml,37,1,3,"push, pull_request, workflow_dispatch",2
electron_electron__pipeline-electron-build-and-test-and-nan.yml,13.0586,electron/electron,pipeline-electron-build-and-test-and-nan.yml,93,3,1,workflow_call,3
twbs_bootstrap__issue-labeled.yml,12.9484,twbs/bootstrap,issue-labeled.yml,26,1,1,issues,1
facebook_react__shared_label_core_team_prs.yml,12.6465,facebook/react,shared_label_core_team_prs.yml,55,3,1,pull_request_target,2
facebook_react__compiler_typescript.yml,12.8731,facebook/react,compiler_typescript.yml,108,4,2,"push, pull_request",10
huggingface_transformers__self-past-caller.yml,13.0715,huggingface/transformers,self-past-caller.yml,40,2,1,workflow_call,2
electron_electron__pipeline-segment-electron-gn-check.yml,14.1354,electron/electron,pipeline-segment-electron-gn-check.yml,162,1,1,workflow_call,7
n8n-io_n8n__e2e-reusable.yml,13.6994,n8n-io/n8n,e2e-reusable.yml,189,4,1,workflow_call,10
Chalarangelo_30-seconds-of-code__deploy-production.yml,13.0557,Chalarangelo/30-seconds-of-code,deploy-production.yml,17,1,2,"schedule, workflow_dispatch",1
denoland_deno__start_release.yml,13.7016,denoland/deno,start_release.yml,45,1,1,workflow_dispatch,2
denoland_deno__ci.yml,13.4937,denoland/deno,ci.yml,843,4,2,"push, pull_request",22
